student_id,lms_logins_per_semester,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,GPA,pass_fail
S164,1,19,0.57,14,0.65,3.21,1
S165,1,52,0.85,19,0.57,2.95,1
S166,38,30,0.51,1,0.91,2.12,0
S167,33,24,0.93,15,0.92,3.34,1
S168,19,44,0.85,16,0.91,3.16,1
S169,32,69,0.88,14,0.82,3.98,1
S170,3,53,0.92,2,0.68,2.48,0
S171,10,14,0.56,3,0.65,3.06,1
S172,4,82,0.91,11,0.5,3.3,1
S173,24,27,0.75,4,0.92,3.29,1
S174,36,30,0.94,16,0.54,3.12,1
S175,33,81,0.94,5,0.82,3.55,1
S176,8,83,0.51,9,0.75,2.41,0
S177,5,60,0.69,17,0.76,3.45,1
S178,17,50,0.76,9,0.96,3.24,1
S179,13,33,0.84,5,0.52,3.79,1
S180,18,33,0.64,5,0.89,3.69,1
S181,13,47,0.63,19,0.53,2.63,1
S182,39,53,0.69,14,0.52,2.55,1
S183,16,66,0.75,3,0.71,3.96,1
S184,34,68,0.98,15,0.53,3.05,1
S185,28,43,0.88,7,0.89,3.81,1
S186,16,84,0.71,6,0.76,2.33,0
S187,7,32,0.53,18,0.51,3.29,1
S188,0,52,0.58,16,0.52,3.62,1
S189,35,49,0.73,12,0.81,3.89,1
S190,6,56,0.91,14,0.9,2.67,1
S191,4,50,0.69,1,0.72,3.45,1
S192,23,56,0.77,9,0.78,3.08,1
S193,27,29,0.95,12,0.9,2.12,0
S194,16,86,0.96,17,0.81,3.38,1
S195,36,74,0.61,10,0.61,3.38,1
S196,19,77,0.52,12,0.81,3.86,1
S197,2,33,0.65,18,0.81,2.99,1
S198,36,45,0.85,4,0.87,2.46,0
S199,25,54,0.98,2,0.81,2.09,0
S200,14,11,0.54,18,0.98,2.83,1
S201,7,37,0.51,12,0.6,2.6,1
S202,12,35,0.94,4,0.98,3.52,1
S203,2,32,0.87,11,0.77,2.71,1
S204,0,88,1.0,13,0.84,3.9,1
S205,8,45,0.7,5,0.55,3.92,1
S206,30,15,0.71,8,0.69,3.24,1
S207,25,44,0.59,16,0.88,3.86,1
S208,16,47,0.56,7,0.85,3.52,1
S209,33,44,0.79,12,0.52,3.09,1
S210,8,83,0.68,4,0.77,2.36,0
S211,12,62,0.54,16,0.54,2.92,1
S212,4,47,0.94,2,1.0,3.12,1
S213,12,68,0.6,5,0.95,3.73,1
S214,0,52,0.87,13,0.51,2.96,1
S215,24,13,0.64,14,0.93,3.8,1
S216,3,14,0.91,13,0.96,3.35,1
S217,35,77,0.56,10,0.68,2.27,0
S218,9,54,0.88,10,0.86,3.99,1
S219,27,89,0.55,8,0.72,3.05,1
S220,5,34,0.72,5,0.83,2.78,1
S221,26,87,0.87,14,0.67,3.32,1
S222,11,20,0.59,11,0.66,2.22,0
S223,2,38,0.64,5,0.71,3.27,1
S224,32,43,0.93,0,0.57,3.0,1
S225,9,23,0.94,15,0.92,2.81,1
S226,30,33,0.52,19,0.67,3.91,1
S227,14,68,0.58,14,0.7,3.05,1
S228,6,48,0.56,1,0.95,2.44,0
S229,35,35,0.59,16,0.75,2.92,1
S230,13,52,0.99,2,0.77,3.84,1
S231,13,45,0.78,2,0.98,2.35,0
S232,2,48,0.73,4,0.94,2.43,0
S233,2,70,0.99,16,0.58,2.03,0
S234,21,25,0.78,16,0.74,2.03,0
S235,18,68,0.83,19,0.99,3.66,1
S236,34,15,0.67,5,0.69,3.46,1
S237,11,65,0.69,0,0.69,2.71,1
S238,4,17,0.8,6,0.6,3.4,1
S239,9,36,0.53,14,0.56,2.79,1
S240,32,80,0.63,6,0.87,3.91,1
S241,12,36,0.6,18,0.89,3.93,1
S242,34,55,0.51,19,0.98,2.79,1
S243,31,50,0.77,10,0.89,3.71,1
S244,10,88,0.78,13,0.62,3.55,1
S245,37,34,0.69,12,0.52,2.62,1
S246,23,27,0.63,19,0.99,2.46,0
S247,34,21,0.83,8,0.67,2.92,1
S248,18,60,0.57,8,0.66,3.56,1
S249,5,48,0.76,15,0.95,3.92,1
S250,39,19,0.88,11,0.79,3.53,1
S251,34,83,0.58,9,0.61,3.71,1
S252,3,86,0.88,5,0.94,3.21,1
S253,32,63,0.88,17,1.0,3.67,1
S254,12,38,0.53,1,0.54,3.57,1
S255,35,50,0.51,19,0.93,2.75,1
S256,18,18,0.99,8,0.7,3.1,1
S257,11,72,0.6,18,0.76,3.61,1
S258,10,86,0.91,5,0.96,2.09,0
S259,5,46,0.78,1,0.99,3.62,1
S260,11,23,0.63,14,0.63,2.36,0
S261,26,82,0.56,16,0.61,3.03,1
S262,24,81,0.75,15,0.54,3.62,1
S263,2,48,0.7,7,0.78,2.51,1
S264,2,49,0.85,9,0.51,2.49,0
S265,19,63,0.95,9,0.71,2.81,1
S266,27,12,0.9,17,0.54,3.79,1
S267,22,64,0.64,9,0.7,2.0,0
S268,2,42,0.94,8,0.52,3.8,1
S269,23,80,0.92,18,0.92,2.31,0
S270,39,28,0.96,0,0.6,3.98,1
S271,5,43,0.73,3,0.66,3.91,1
S272,19,87,0.88,2,0.94,2.99,1
S273,10,59,0.8,9,0.87,3.03,1
S274,31,56,0.66,11,0.61,2.96,1
S275,26,55,1.0,17,0.54,3.27,1
S276,20,65,0.52,19,0.86,2.18,0
S277,12,66,0.58,5,0.7,2.07,0
S278,21,60,0.95,1,0.88,2.12,0
S279,34,63,0.53,9,0.72,2.89,1
S280,21,37,0.94,1,0.67,2.55,1
S281,27,28,0.86,8,0.73,3.24,1
S282,20,36,0.52,9,0.87,3.98,1
S283,17,57,0.71,1,0.95,2.77,1
S284,30,28,0.88,7,0.52,3.15,1
S285,36,60,0.79,16,0.76,2.83,1
S286,20,16,0.97,16,0.52,3.69,1
S287,13,38,0.93,3,0.73,3.8,1
S288,24,52,0.67,17,0.94,3.75,1
S289,26,78,0.54,11,0.68,3.95,1
S290,39,67,0.97,16,0.97,2.06,0
S291,22,17,0.76,8,0.82,3.68,1
S292,30,51,0.54,18,0.97,3.5,1
S293,28,85,0.91,13,0.88,2.46,0
S294,29,51,0.93,13,0.55,3.91,1
S295,25,22,0.82,16,0.62,2.3,0
S296,19,35,0.72,1,0.7,3.36,1
S297,37,27,0.83,7,0.59,2.45,0
S298,18,51,0.85,4,0.75,2.86,1
S299,26,60,0.95,6,0.74,3.44,1
S300,24,25,0.98,15,0.98,3.13,1
S301,39,12,0.76,15,0.72,2.86,1
S302,37,88,0.9,16,0.89,2.65,1
S303,22,54,0.98,6,0.97,3.68,1
S304,28,31,0.58,19,0.94,2.29,0
S305,14,32,0.51,7,0.6,2.86,1
S306,2,68,0.93,7,0.75,3.81,1
S307,9,71,0.6,10,0.67,3.69,1
S308,14,77,0.52,14,0.7,2.8,1
S309,15,63,0.58,17,0.68,3.53,1
S310,16,66,0.69,5,0.91,3.65,1
S311,18,32,0.61,11,0.73,3.78,1
S312,10,69,0.65,14,0.76,3.09,1
S313,4,82,0.99,5,0.99,2.41,0
S314,4,64,0.85,17,0.53,2.51,1
S315,13,89,0.86,19,0.74,2.59,1
S316,25,72,0.55,8,0.89,3.19,1
S317,7,65,0.87,7,0.58,2.07,0
S318,4,64,0.87,13,0.81,3.27,1
S319,6,34,0.83,18,0.62,2.73,1
S320,15,35,0.61,18,0.93,2.59,1
S321,13,58,0.71,7,0.66,3.76,1
S322,36,72,0.92,1,0.66,2.92,1
S323,3,54,0.84,3,0.8,2.19,0
S324,35,82,0.87,5,0.59,3.65,1
S325,16,88,0.79,2,0.64,2.1,0
S326,35,48,0.72,2,0.71,3.45,1
S327,5,74,0.88,18,0.68,3.55,1
S328,15,78,0.53,10,0.76,2.71,1
S329,28,65,0.84,9,0.8,3.65,1
S330,35,18,1.0,11,0.78,3.03,1
S331,37,79,0.89,13,0.83,2.93,1
S332,36,37,0.65,17,0.65,2.09,0
S333,9,54,0.64,8,0.56,2.58,1
S334,35,35,0.83,14,0.88,3.86,1
S335,28,37,0.95,2,0.93,2.78,1
S336,13,49,0.79,10,0.63,3.09,1
S337,3,24,0.76,9,0.7,3.06,1
S338,35,15,0.58,17,0.75,3.18,1
S339,12,36,0.86,3,0.77,2.12,0
S340,17,47,0.85,12,0.83,2.72,1
S341,32,77,0.98,5,0.52,3.45,1
S342,20,84,0.65,12,0.86,2.4,0
S343,15,73,0.88,19,0.53,2.41,0
S344,14,39,0.72,4,0.73,2.02,0
S345,4,12,0.78,19,0.91,2.87,1
S346,5,71,0.91,13,0.73,3.77,1
S347,37,21,0.61,12,0.57,2.1,0
S348,2,39,0.67,13,0.99,2.38,0
S349,11,47,0.89,7,0.94,2.62,1
S350,35,69,0.79,15,0.89,3.46,1
S351,32,47,0.55,12,0.71,3.28,1
S352,35,24,0.72,14,0.59,2.83,1
S353,32,27,0.79,18,0.97,3.52,1
S354,30,61,0.95,0,0.77,3.22,1
S355,20,38,0.59,1,0.93,3.79,1
S356,26,69,0.9,17,0.67,3.64,1
S357,26,30,0.57,18,0.67,2.51,1
S358,7,26,0.62,7,0.99,2.54,1
S359,36,27,0.62,2,0.76,2.25,0
S360,31,66,0.94,13,0.57,2.67,1
S361,25,46,0.6,8,0.61,4.0,1
S362,1,69,0.89,7,0.74,2.81,1
S363,11,47,0.73,16,0.52,2.44,0
S364,21,21,1.0,15,0.73,3.52,1
S365,16,84,0.92,9,0.71,3.08,1
S366,6,82,0.87,9,0.89,2.3,0
S367,3,10,0.94,5,0.68,2.76,1
S368,36,67,0.82,16,0.99,2.83,1
S369,37,12,0.92,15,0.59,3.51,1
S370,31,72,0.63,14,0.8,2.04,0
S371,10,30,0.55,13,0.54,2.54,1
S372,0,32,0.81,3,0.87,3.04,1
S373,24,18,0.72,3,1.0,2.54,1
S374,23,64,0.71,1,0.91,3.26,1
S375,16,28,0.76,10,0.78,2.96,1
S376,7,71,0.68,3,0.74,2.72,1
S377,26,48,0.81,15,0.92,3.9,1
S378,17,85,0.52,3,0.97,3.26,1
S379,26,36,0.98,0,0.99,2.26,0
S380,21,55,0.96,18,0.7,3.12,1
S381,15,43,0.97,1,1.0,3.56,1
S382,1,42,0.68,8,0.58,3.42,1
S383,4,59,0.77,12,0.63,2.34,0
S384,17,29,0.98,17,0.54,3.94,1
S385,2,49,0.95,15,0.64,2.9,1
S386,26,67,0.9,15,0.88,2.32,0
S387,16,40,0.7,9,0.93,2.36,0
S388,15,47,0.78,8,0.89,2.2,0
S389,5,54,0.9,10,0.82,3.61,1
S390,6,50,0.64,3,0.76,2.24,0
S391,13,18,0.81,9,0.85,2.25,0
S392,37,18,0.91,2,0.7,3.7,1
S393,39,72,0.85,5,0.92,2.69,1
S394,14,88,0.74,2,0.84,2.06,0
S395,32,86,0.79,8,0.85,2.1,0
S396,26,31,0.99,2,0.77,2.28,0
S397,28,25,0.8,17,0.94,2.43,0
S398,36,41,0.89,7,0.63,3.33,1
S399,4,75,0.86,7,0.69,2.31,0
S400,28,23,0.85,14,0.89,2.24,0
S401,31,47,0.86,12,0.75,3.53,1
S402,5,17,0.73,6,0.94,3.34,1
S403,1,30,0.74,18,0.67,2.87,1
S404,5,65,0.73,7,0.68,3.1,1
S405,3,55,0.52,9,0.94,2.62,1
S406,28,52,0.62,16,0.73,2.97,1
S407,24,55,0.58,0,0.76,3.01,1
S408,8,57,0.94,12,0.67,2.77,1
S409,2,79,0.64,12,0.64,3.81,1
S410,25,40,0.57,15,0.83,2.03,0
S411,26,42,0.56,8,0.56,3.56,1
S412,35,53,0.85,9,0.94,2.25,0
S413,31,80,0.5,5,0.89,3.6,1
S414,0,17,0.74,4,0.6,3.23,1
S415,15,82,0.56,1,0.85,3.69,1
S416,10,11,0.92,10,0.8,2.2,0
S417,25,26,0.98,8,0.59,3.12,1
S418,39,61,0.98,5,0.64,3.0,1
S419,0,54,0.72,7,0.7,3.41,1
S420,25,46,0.82,8,0.85,3.07,1
S421,27,51,0.8,8,0.82,3.08,1
S422,8,53,0.68,7,0.77,2.86,1
S423,21,47,0.72,11,0.88,2.62,1
S424,7,15,0.53,7,0.88,2.96,1
S425,26,77,0.9,2,0.81,2.24,0
S426,38,60,0.62,12,0.89,3.92,1
S427,18,44,0.73,18,0.67,3.43,1
S428,24,67,0.74,1,0.94,3.9,1
S429,37,66,0.78,16,0.81,2.45,0
S430,20,82,0.91,15,0.91,3.76,1
S431,23,15,0.85,3,0.77,3.62,1
S432,23,22,0.83,17,0.61,3.35,1
S433,18,68,0.76,13,0.77,3.25,1
S434,1,39,0.55,1,0.69,2.63,1
S435,13,11,0.7,12,0.85,3.63,1
S436,31,67,0.98,19,0.74,3.0,1
S437,31,45,1.0,16,0.92,2.14,0
S438,27,81,0.87,14,0.84,2.63,1
S439,38,54,0.61,19,0.84,3.87,1
S440,39,18,0.55,4,0.61,3.7,1
S441,39,74,0.71,6,0.99,3.96,1
S442,12,86,0.93,17,0.92,3.26,1
S443,11,59,0.86,10,0.89,2.5,1
S444,7,88,0.94,17,0.67,2.33,0
S445,14,41,0.81,4,0.77,2.37,0
S446,25,52,0.57,12,0.57,2.04,0
S447,11,87,0.56,17,0.77,2.78,1
S448,26,63,0.52,1,0.57,2.38,0
S449,17,56,0.78,19,0.78,2.82,1
S450,35,23,0.62,3,0.82,3.87,1
S451,26,57,0.87,12,0.7,2.86,1
S452,8,64,0.84,15,0.75,3.76,1
S453,38,38,0.66,5,0.94,3.21,1
S454,0,56,0.59,7,0.55,2.49,0
S455,6,72,0.55,15,0.9,2.71,1
S456,25,28,0.87,12,0.59,2.17,0
S457,6,18,0.73,3,0.52,2.67,1
S458,6,46,0.66,1,0.59,3.36,1
S459,7,61,0.93,8,0.88,2.14,0
S460,15,66,0.8,17,0.7,2.41,0
S461,2,37,0.76,16,0.94,2.76,1
S462,9,45,0.87,7,0.76,3.96,1
S463,6,73,0.91,14,0.51,3.57,1
S464,20,27,0.84,8,0.86,3.47,1
S465,36,44,0.72,16,0.56,2.23,0
S466,30,77,0.69,1,0.89,3.56,1
S467,22,87,0.89,5,0.58,3.57,1
S468,26,48,0.76,4,0.67,3.2,1
S469,21,17,0.85,16,0.88,3.98,1
S470,38,89,0.95,1,0.98,2.65,1
S471,26,24,0.96,17,0.69,3.88,1
S472,3,16,0.64,9,0.91,3.83,1
S473,23,26,0.59,9,0.6,2.02,0
S474,22,73,0.63,5,0.9,2.9,1
S475,18,21,0.88,11,0.83,3.95,1
S476,2,65,0.69,16,0.6,2.21,0
S477,26,55,0.59,12,0.65,3.1,1
S478,2,56,0.55,19,0.57,3.96,1
S479,27,88,0.66,15,0.69,3.11,1
S480,16,25,0.57,9,0.6,2.38,0
S481,30,78,0.58,1,0.82,3.16,1
S482,9,11,0.84,1,1.0,2.41,0
S483,21,63,0.51,6,0.51,3.04,1
S484,29,36,0.56,5,0.77,2.15,0
S485,20,40,0.92,0,0.79,3.21,1
S486,35,50,0.92,11,0.96,3.03,1
S487,22,45,0.66,12,0.75,3.48,1
S488,37,56,0.54,11,0.77,3.26,1
S489,11,52,0.85,18,0.74,3.1,1
S490,24,74,0.68,8,0.63,3.38,1
S491,19,59,0.52,9,0.53,2.29,0
S492,6,10,0.58,16,0.7,3.19,1
S493,28,81,0.57,17,0.53,2.34,0
S494,28,66,0.79,7,0.78,3.85,1
S495,12,25,0.95,6,0.65,2.14,0
S496,2,37,0.9,8,0.77,2.86,1
S497,1,31,0.77,9,0.57,3.39,1
S498,15,50,0.71,11,0.97,2.92,1
S499,29,85,0.81,14,0.95,2.18,0
S500,37,28,0.72,14,0.59,3.11,1
S501,5,59,0.62,3,0.67,3.28,1
S502,6,68,0.84,3,0.81,3.41,1
S503,4,78,0.94,0,0.55,2.75,1
S504,6,43,0.69,11,0.68,3.13,1
S505,33,48,0.92,1,0.63,2.9,1
S506,31,83,0.72,14,0.96,3.34,1
S507,12,16,0.7,16,0.93,3.17,1
S508,29,61,0.51,6,0.79,3.05,1
S509,24,69,0.85,5,0.76,2.5,1
S510,20,61,0.9,11,0.97,2.0,0
S511,20,88,0.83,18,0.97,2.35,0
S512,27,33,0.58,0,0.98,2.23,0
S513,19,35,0.55,13,0.56,2.9,1
S514,33,19,0.79,3,0.58,3.22,1
S515,4,26,0.7,4,0.84,2.43,0
S516,17,87,0.71,0,0.77,3.88,1
S517,38,11,0.98,0,0.51,2.01,0
S518,10,86,0.86,5,0.53,3.54,1
S519,16,36,0.71,4,0.94,3.25,1
S520,21,82,0.51,1,0.93,2.75,1
S521,36,80,0.52,4,0.68,2.1,0
S522,19,57,0.84,8,0.95,3.25,1
S523,5,83,0.92,18,0.8,2.77,1
S524,33,18,0.85,14,0.9,3.87,1
S525,13,32,0.7,12,0.71,3.08,1
S526,22,80,0.52,11,0.56,3.88,1
S527,19,82,0.98,4,0.72,2.44,0
S528,12,36,0.99,1,0.73,3.45,1
S529,31,80,0.77,3,0.78,3.23,1
S530,25,52,0.54,17,0.55,3.48,1
S531,13,16,0.77,9,1.0,2.43,0
S532,35,72,0.95,12,0.62,3.33,1
S533,7,53,0.84,11,0.6,3.0,1
S534,39,48,0.86,1,0.76,3.49,1
S535,21,49,0.54,14,0.77,2.65,1
S536,21,16,0.55,13,0.72,3.78,1
S537,15,79,0.56,9,0.89,2.17,0
S538,26,34,0.95,7,0.76,3.61,1
S539,9,68,0.76,14,0.8,3.72,1
S540,24,22,0.9,12,0.86,3.63,1
S541,30,71,0.56,7,0.51,3.03,1
S542,20,17,0.96,13,0.79,2.88,1
S543,26,54,0.91,0,0.94,3.99,1
S544,16,27,0.61,12,0.51,2.46,0
S545,32,69,0.94,7,0.7,3.09,1
S546,30,69,0.63,17,0.96,3.34,1
S547,25,11,0.6,8,0.68,3.4,1
S548,20,75,0.63,12,0.73,2.41,0
S549,35,23,0.95,2,0.99,3.31,1
S550,0,57,0.96,17,0.6,3.64,1
S551,3,65,0.66,9,0.53,2.1,0
S552,3,21,0.85,4,0.93,3.82,1
S553,25,64,0.84,5,0.93,2.06,0
S554,3,37,0.9,7,0.74,2.71,1
S555,8,13,0.65,6,0.76,2.03,0
S556,29,45,0.76,17,0.92,2.15,0
S557,3,59,0.83,13,0.87,3.82,1
S558,4,12,0.51,14,0.63,2.71,1
S559,22,10,0.69,9,0.51,2.85,1
S560,15,26,0.85,11,0.74,2.43,0
S561,21,80,0.63,6,0.93,3.19,1
S562,36,71,0.98,6,0.95,3.19,1
S563,7,57,0.52,10,0.98,2.74,1
S564,32,71,0.98,12,0.94,2.67,1
S565,37,78,0.61,14,0.79,3.77,1
S566,15,28,0.52,17,0.72,2.77,1
S567,4,43,0.65,6,0.89,2.99,1
S568,15,58,0.89,5,0.87,2.57,1
S569,6,89,0.88,10,0.77,3.57,1
S570,0,56,0.6,7,0.54,2.79,1
S571,8,59,0.6,19,0.96,3.03,1
S572,17,35,0.82,0,0.73,2.51,1
S573,2,65,0.73,7,0.68,3.98,1
S574,23,87,0.9,7,0.81,2.58,1
S575,27,23,0.51,18,0.84,3.54,1
S576,9,87,0.81,2,0.61,2.85,1
S577,8,34,0.87,4,0.92,2.41,0
S578,12,13,1.0,2,0.64,3.6,1
S579,34,88,0.84,14,0.59,2.67,1
S580,22,41,0.62,13,0.7,3.73,1
S581,16,87,0.55,14,0.87,3.83,1
S582,6,74,0.82,16,0.98,3.72,1
S583,15,70,0.76,17,0.9,2.07,0
S584,39,29,0.95,1,0.97,3.57,1
S585,35,83,0.86,11,0.57,2.82,1
S586,19,19,0.75,15,0.54,3.75,1
S587,23,43,0.7,3,0.78,3.28,1
S588,4,70,0.7,1,0.65,3.67,1
S589,5,36,0.61,13,0.91,3.0,1
S590,27,49,0.51,10,0.84,3.07,1
S591,4,74,0.79,12,0.99,2.29,0
S592,38,42,0.61,6,0.63,3.57,1
S593,37,77,0.6,9,0.74,2.84,1
S594,1,80,0.56,0,0.75,3.0,1
S595,38,18,0.59,3,0.62,3.57,1
S596,20,25,0.52,17,0.8,3.2,1
S597,39,14,0.84,5,0.72,2.4,0
S598,36,32,0.7,1,0.72,3.18,1
S599,17,52,0.78,2,0.68,2.82,1
S600,11,66,0.82,13,0.51,2.94,1
S601,16,60,0.99,7,0.76,2.06,0
S602,36,22,0.53,15,0.67,2.42,0
S603,37,33,0.71,18,0.5,2.56,1
